;model;time;acc_train;acc_test;neuro1;neuro2
0;ASR4_5;508.3620083332062;0.9642857142857143;0.9333333333333333;4;5
1;ASR4_8;521.7707664966583;0.9571428571428572;0.9166666666666666;4;8
2;ASR4_11;535.9525516033173;0.95;0.8833333333333333;4;11
3;ASR4_14;535.4539039134979;0.9642857142857143;0.95;4;14
4;ASR4_17;543.764466047287;0.9642857142857143;0.95;4;17
5;ASR7_5;543.5591330528259;0.9714285714285714;0.9333333333333333;7;5
6;ASR7_8;541.5926189422607;0.9714285714285714;0.9333333333333333;7;8
7;ASR7_11;545.5670583248138;0.95;0.8666666666666667;7;11
8;ASR7_14;584.543613910675;0.95;0.8833333333333333;7;14
9;ASR7_17;562.9440999031067;0.95;0.9;7;17
10;ASR10_5;569.7575435638428;0.9714285714285714;0.9333333333333333;10;5
11;ASR10_8;579.1763923168182;0.9714285714285714;0.95;10;8
12;ASR10_11;581.7165548801422;0.9714285714285714;0.9333333333333333;10;11
13;ASR10_14;574.5265851020813;0.9785714285714285;0.95;10;14
14;ASR10_17;576.4269428253174;0.9785714285714285;0.9333333333333333;10;17
15;ASR13_5;573.5928945541382;0.9714285714285714;0.9166666666666666;13;5
16;ASR13_8;579.2406704425812;0.9714285714285714;0.9166666666666666;13;8
17;ASR13_11;586.5356600284576;0.9714285714285714;0.95;13;11
18;ASR13_14;600.6959278583527;0.9714285714285714;0.9333333333333333;13;14
19;ASR13_17;608.0873188972473;0.9642857142857143;0.95;13;17
20;ASR16_5;604.2782609462738;0.9714285714285714;0.9333333333333333;16;5
21;ASR16_8;618.2548823356628;0.9642857142857143;0.95;16;8
22;ASR16_11;619.7578020095825;0.9642857142857143;0.95;16;11
23;ASR16_14;626.9620311260223;0.9714285714285714;0.9333333333333333;16;14
24;ASR16_17;629.6822035312653;0.9714285714285714;0.9166666666666666;16;17
25;ASR19_5;635.2023682594299;0.9714285714285714;0.9333333333333333;19;5
26;ASR19_8;651.6945376396179;0.9714285714285714;0.9333333333333333;19;8
27;ASR19_11;637.5689542293549;0.9714285714285714;0.9166666666666666;19;11
28;ASR19_14;620.5038130283356;0.9714285714285714;0.9333333333333333;19;14
29;ASR19_17;641.543595790863;0.9714285714285714;0.9166666666666666;19;17
